2016/10/13 10:56:12,B001,3554.928,-07602.498
2016/10/13 10:56:18,B001,3554.927,-07602.499
2016/10/13 10:56:20,B001,3554.925,-07602.500
2016/10/13 10:56:22,B001,3554.923,-07602.499
2016/10/13 10:56:24,B001,3554.921,-07602.499
2016/10/13 10:56:26,B001,3554.920,-07602.499
2016/10/13 10:56:28,B001,3554.918,-07602.498
2016/10/13 10:56:30,B001,3554.916,-07602.497
2016/10/13 10:56:32,B001,3554.915,-07602.496
2016/10/13 10:56:34,B001,3554.913,-07602.496
2016/10/13 10:56:36,B001,3554.911,-07602.496
2016/10/13 10:56:38,B001,3554.909,-07602.496
2016/10/13 10:56:40,B001,3554.908,-07602.496
2016/10/13 10:56:42,B001,3554.906,-07602.496
2016/10/13 10:56:44,B001,3554.904,-07602.495
2016/10/13 10:56:46,B001,3554.902,-07602.495
2016/10/13 10:56:48,B001,3554.900,-07602.495
2016/10/13 10:56:50,B001,3554.899,-07602.495
2016/10/13 10:56:52,B001,3554.897,-07602.494
2016/10/13 10:56:54,B001,3554.895,-07602.494
2016/10/13 10:56:56,B001,3554.893,-07602.493
2016/10/13 10:56:58,B001,3554.892,-07602.493
2016/10/13 10:57:00,B001,3554.890,-07602.492
2016/10/13 10:57:02,B001,3554.888,-07602.492
2016/10/13 10:57:04,B001,3554.887,-07602.491
2016/10/13 10:57:06,B001,3554.885,-07602.490
2016/10/13 10:57:08,B001,3554.883,-07602.490
2016/10/13 10:57:10,B001,3554.882,-07602.490
2016/10/13 10:57:12,B001,3554.880,-07602.489
2016/10/13 10:57:14,B001,3554.878,-07602.489
2016/10/13 10:57:16,B001,3554.876,-07602.489
2016/10/13 10:57:18,B001,3554.874,-07602.489
2016/10/13 10:57:20,B001,3554.873,-07602.490
2016/10/13 10:57:22,B001,3554.871,-07602.489
2016/10/13 10:57:24,B001,3554.869,-07602.490
2016/10/13 10:57:26,B001,3554.867,-07602.489
2016/10/13 10:57:28,B001,3554.865,-07602.489
2016/10/13 10:57:30,B001,3554.864,-07602.489
2016/10/13 10:57:32,B001,3554.862,-07602.489
2016/10/13 10:57:34,B001,3554.860,-07602.489
2016/10/13 10:57:36,B001,3554.858,-07602.489
2016/10/13 10:57:38,B001,3554.856,-07602.489
2016/10/13 10:57:40,B001,3554.855,-07602.490
2016/10/13 10:57:42,B001,3554.853,-07602.490
2016/10/13 10:57:44,B001,3554.851,-07602.490
2016/10/13 10:57:46,B001,3554.849,-07602.490
2016/10/13 10:57:48,B001,3554.847,-07602.490
2016/10/13 10:57:50,B001,3554.846,-07602.490
2016/10/13 10:57:52,B001,3554.844,-07602.491
